2025-09-10 12:05:39 | Error [2]: SQLite3::query(): Unable to prepare statement: 1, no such table: users | File: C:\laragon\www\CraftMini\src\Database\Adapter\Sqlite3Adapter.php | Line: 24
2025-09-10 16:29:47 | Error [2]: call_user_func_array() expects parameter 1 to be a valid callback, class 'Craft\Database\QueryBuilder\MysqlBuilder' does not have a method 'all' | File: C:\laragon\www\CraftMini\app\Model\Model.php | Line: 19
2025-09-10 16:34:54 | Error [2]: call_user_func_array() expects parameter 1 to be a valid callback, class 'Craft\Database\QueryBuilder\MysqlBuilder' does not have a method 'all' | File: C:\laragon\www\CraftMini\app\Model\Model.php | Line: 19
2025-09-10 16:34:55 | Error [2]: call_user_func_array() expects parameter 1 to be a valid callback, class 'Craft\Database\QueryBuilder\MysqlBuilder' does not have a method 'all' | File: C:\laragon\www\CraftMini\app\Model\Model.php | Line: 19
2025-09-10 16:35:49 | Error [2]: call_user_func_array() expects parameter 1 to be a valid callback, class 'Craft\Database\QueryBuilder\MysqlBuilder' does not have a method 'all' | File: C:\laragon\www\CraftMini\app\Model\Model.php | Line: 21
2025-09-10 16:36:06 | Error [2]: call_user_func_array() expects parameter 1 to be a valid callback, class 'Craft\Database\QueryBuilder\MysqlBuilder' does not have a method 'all' | File: C:\laragon\www\CraftMini\app\Model\Model.php | Line: 21
2025-09-10 16:37:11 | Error [2]: call_user_func_array() expects parameter 1 to be a valid callback, class 'Craft\Database\QueryBuilder\MysqlBuilder' does not have a method 'all' | File: C:\laragon\www\CraftMini\app\Model\Model.php | Line: 21
2025-09-10 16:37:12 | Error [2]: call_user_func_array() expects parameter 1 to be a valid callback, class 'Craft\Database\QueryBuilder\MysqlBuilder' does not have a method 'all' | File: C:\laragon\www\CraftMini\app\Model\Model.php | Line: 21
2025-09-10 16:37:14 | Error [2]: call_user_func_array() expects parameter 1 to be a valid callback, class 'Craft\Database\QueryBuilder\MysqlBuilder' does not have a method 'all' | File: C:\laragon\www\CraftMini\app\Model\Model.php | Line: 21
2025-09-10 16:37:55 | Error [2]: call_user_func_array() expects parameter 1 to be a valid callback, class 'Craft\Database\QueryBuilder\MysqlBuilder' does not have a method 'all' | File: C:\laragon\www\CraftMini\app\Model\Model.php | Line: 21
2025-09-10 16:37:56 | Error [2]: call_user_func_array() expects parameter 1 to be a valid callback, class 'Craft\Database\QueryBuilder\MysqlBuilder' does not have a method 'all' | File: C:\laragon\www\CraftMini\app\Model\Model.php | Line: 21
2025-09-10 20:51:25 | Error [2]: call_user_func_array() expects parameter 1 to be a valid callback, class 'Craft\Database\QueryBuilder\MysqlBuilder' does not have a method 'getBuilder' | File: C:\laragon\www\CraftMini\app\Model\Model.php | Line: 21
2025-09-10 20:57:46 | Error [2]: call_user_func_array() expects parameter 1 to be a valid callback, class 'Craft\Database\Mapper\MysqlMapper' does not have a method 'select' | File: C:\laragon\www\CraftMini\app\Model\Model.php | Line: 21
2025-09-10 21:53:36 | Error [8192]: Non-static method App\Model\Model::all() should not be called statically | File: C:\laragon\www\CraftMini\app\Controller\HomeController.php | Line: 32
2025-09-10 21:54:01 | Error [8192]: Non-static method App\Model\Model::all() should not be called statically | File: C:\laragon\www\CraftMini\app\Controller\HomeController.php | Line: 32
2025-09-10 21:54:02 | Error [8192]: Non-static method App\Model\Model::all() should not be called statically | File: C:\laragon\www\CraftMini\app\Controller\HomeController.php | Line: 32
2025-09-10 21:54:02 | Error [8192]: Non-static method App\Model\Model::all() should not be called statically | File: C:\laragon\www\CraftMini\app\Controller\HomeController.php | Line: 32
2025-09-10 21:54:02 | Error [8192]: Non-static method App\Model\Model::all() should not be called statically | File: C:\laragon\www\CraftMini\app\Controller\HomeController.php | Line: 32
2025-09-10 21:54:02 | Error [8192]: Non-static method App\Model\Model::all() should not be called statically | File: C:\laragon\www\CraftMini\app\Controller\HomeController.php | Line: 32
2025-09-10 21:54:03 | Error [8192]: Non-static method App\Model\Model::all() should not be called statically | File: C:\laragon\www\CraftMini\app\Controller\HomeController.php | Line: 32
2025-09-10 21:56:02 | Error [2]: call_user_func_array() expects parameter 1 to be a valid callback, class 'Craft\Database\QueryBuilder\MysqlBuilder' does not have a method 'all' | File: C:\laragon\www\CraftMini\app\Model\Model.php | Line: 30
2025-09-10 21:56:03 | Error [2]: call_user_func_array() expects parameter 1 to be a valid callback, class 'Craft\Database\QueryBuilder\MysqlBuilder' does not have a method 'all' | File: C:\laragon\www\CraftMini\app\Model\Model.php | Line: 30
